thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
倒持太阿,dǎo chí tai ā,đảo trì thái a,,Động tân,Tiêu cực,," Làm vị ngữ, định ngữ; dùng trong ngữ cảnh xử lý công việc, chính trị","Thái A: tên một thanh bảo kiếm nổi tiếng. “Đảo trì Thái A” (倒持太阿) tức là cầm ngược kiếm, đưa chuôi cho người khác – ẩn dụ cho việc giao quyền lực vào tay người khác, cuối cùng tự chuốc lấy thiệt hại hoặc bị người khác phản lại.",况今驻华各使，惟利是视，以值修约之际，蹈瑕伺间，诡谋百出，不豫为之防，是倒持太阿以授之也。★清·薛福成《筹洋刍议》," Huống chi hiện nay các sứ thần trú tại Trung Quốc chỉ chăm chăm vào lợi ích, nhân dịp đàm phán hiệp ước mà soi mói từng sai sót, trăm mưu nghìn kế giở trò; nếu không sớm có biện pháp phòng bị thì chẳng khác nào tự tay dâng chuôi kiếm cho người — tức là “đảo trì Thái A” vậy.
(*Trích từ: Thanh – Tiết Phúc Thành, Trù Dương Sơ Nghị)",倒持泰阿、太阿倒持,,"(Trích ""Cựu Đường Thư - Trần Di Hành truyện"")
→ Trong mấy năm gần đây, gian thần chiếm đoạt quyền lực, bệ hạ không nên giữ dao gấp ngược mà giao quyền cho người khác.",
倒持干戈,dǎo chí gàn gē,đảo trì can qua,,Động tân,Tiêu cực,," Làm vị ngữ, định ngữ; dùng trong tình huống xử lý sự việc, đặc biệt là chính trị hoặc quyền lực"," Tương đương với “倒持太阿” (đảo trì Thái A – cầm ngược thanh kiếm Thái A). “Can” (干) và “qua” (戈) đều là vũ khí, tượng trưng cho quyền lực. Việc cầm ngược vũ khí đưa cho người khác mang ý nghĩa ẩn dụ: giao quyền lực hoặc phương tiện kiểm soát cho người khác, cuối cùng tự chuốc lấy nguy hiểm.",,,倒持戈矛、倒持泰阿、授人以柄,,"《Hậu Hán Thư · Truyện Hà Tiến》:
“Đại binh tụ hội, kẻ mạnh làm bá chủ, cái gọi là cầm ngược vũ khí, trao chuôi kiếm cho người khác, ắt việc không thành, chỉ là nguồn gốc của loạn lạc.”",
倒持戈矛,dǎo chí gē máo,đảo trì qua mâu,,Động tân,Tiêu cực,,"Làm vị ngữ, định ngữ; dùng trong ngữ cảnh xử lý công việc, đặc biệt liên quan đến quyền lực hoặc chính trị"," Tương tự như “倒持太阿” (cầm ngược thanh kiếm Thái A). “Qua” (戈) và “mâu” (矛) đều là vũ khí, tượng trưng cho sức mạnh hoặc quyền lực. Việc “cầm ngược vũ khí” mang hàm ý ẩn dụ: giao công cụ sức mạnh cho người khác, khiến bản thân rơi vào thế bị động hoặc bị phản bội.",,,倒持干戈,,"《Tân Đường Thư · Truyện Lục Chí》:
“Bỏ điều này mà không lo, lại bị kẻ khác thừa cơ lợi dụng, đó gọi là cầm ngược giáo mác, đem chuôi kiếm trao cho giặc vậy.”",
倒持手板,dǎo chí shǒu bǎn,đảo trì thủ bản,,Động tân,Tích cực,Thành ngữ về tay,"Làm vị ngữ, định ngữ; dùng trong các tình huống ứng xử, đặc biệt trong bối cảnh lễ nghi hoặc hành chính","Quan lại thời xưa khi vào triều phải cầm ""thủ bản"" (手板 – một loại thẻ bằng gỗ để ghi chép hoặc biểu thị sự trang nghiêm). Việc “cầm ngược thủ bản” (倒持手板) thể hiện trạng thái mất bình tĩnh, hoảng hốt, rối loạn. Đồng nghĩa với “倒执手版”.",,,倒执手版,,"Tống · Lưu Khắc Trang · 《Tẩm Viên Xuân · Tái hoạ vận của Lâm Khanh》:
“Đợi đến Tân Đình, cầm ngược thẻ tay, sao bằng rút lui khỏi Chính Sự Đường.”",
倒持泰阿,dào chí tài ē,đảo trì thái a,,Động tân,Tích cực,,Làm vị ngữ; ẩn dụ cho việc quá dễ dãi tin tưởng người khác một cách nhẹ dạ,"Thái A: tên một thanh bảo kiếm nổi tiếng. “Đảo trì Thái A” (倒持泰阿) nghĩa là cầm ngược kiếm, đưa chuôi kiếm cho người khác. Ẩn dụ cho việc giao quyền lực, điểm yếu hoặc quyền kiểm soát cho người khác, để rồi chính mình bị hại.",二子以爱姬示人，掇丧身之祸。所谓倒持泰阿，授人以柄。（宋 乐史《绿珠传》）,"Hai người con trai đem ái cơ ra khoe khoang, cuối cùng rước họa vào thân. Đó chính là hành vi “đảo trì Thái A”, trao chuôi kiếm cho kẻ khác, tức là tự đưa điểm yếu của mình vào tay người khác.",倒持太阿,,"《Hán Thư · Truyện Mai Phúc》:
“Cầm ngược thanh Thái A, trao chuôi kiếm cho nước Sở.”",
倒枕捶床,dǎo zhěn chuí chuáng,đảo chẩm chuỷ sàng ,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ; dùng trong bối cảnh đau buồn, bi thương","“Đảo” nghĩa là lật ngược; “chùy” nghĩa là dùng nắm tay đập xuống. Cụm “đảo chẩm chùy sàng” (倒枕捶床) – lật gối, đập giường – là hình ảnh diễn tả sự đau đớn tột cùng, vô cùng bi thương.",清·无名氏《隔帘花影》第22回：“睡到半夜里，倒枕捶床，不住的叹气。”,"(Thanh – Vô danh thị, Cách Liêm Hoa Ảnh, hồi 22): “Ngủ đến nửa đêm, nàng lật gối đập giường, thở dài không ngớt.”",捶床捣枕,,"Nguyên · Quan Hán Khanh · 《Điều Phong Nguyệt》 – Hồi ba:
“Thở ngắn than dài, ngàn tiếng vạn lời, nằm nghiêng đập giường, đến canh ba canh tư.”",
倒果为因,dào guǒ wéi yīn,đảo quả vi nhân,,Động tân,Tích cực,,Làm vị ngữ; chỉ hành vi đảo lộn quan hệ nhân - quả," “Quả” là kết quả, “nhân” là nguyên nhân. “Đảo quả vi nhân” (倒果为因) nghĩa là lấy kết quả làm nguyên nhân — ẩn dụ cho việc suy luận sai lầm, đảo ngược mối quan hệ logic giữa nguyên nhân và hệ quả.",日颂当前之结果，于学者独恝然而置之，倒果为因，莫此为甚。（鲁迅《坟 科学史教篇》）,"Ngày ngày ca ngợi kết quả trước mắt, trong khi những người làm học thuật lại thờ ơ, chẳng mảy may để ý — đúng là đảo lộn nhân quả, không gì sai lầm hơn thế.
(*Trích từ: Lỗ Tấn, Phần – Khoa học sử giáo thiên)",本末倒置、颠倒是非,,"Lỗ Tấn · 《Phần · Khoa học sử giáo thiên》:
“Suốt ngày ca ngợi kết quả trước mắt, trong khi giới học giả lại thờ ơ bỏ mặc, lấy quả làm nhân, không gì tệ hại hơn thế.”",
倒栽葱,dào zāi cōng,đảo tài thông ,,Chính phụ,Tích cực,,"Làm tân ngữ, định ngữ; dùng trong câu ẩn dụ","Chỉ việc ngã nhào mà đầu tiếp đất trước – tức là ngã rất nặng. Ẩn dụ cho một lần thất bại nặng nề, thảm hại.",蔡东藩《五代史演义》第54回：“延锡也跌做一个倒栽葱。”," (Thái Đông Phàm, Ngũ Đại Sử Diễn Nghĩa, hồi 54): “Diên Tích cũng ngã một cú như thể ‘cắm đầu xuống đất như cây hành’.”",,,"Thanh · Sở Nhân Hoạch · 《Tùy Đường Diễn Nghĩa》 – Hồi 33:
“Đấm một cú vào lưng, đánh bất ngờ không kịp đề phòng, ngã nhào xuống như cây hành cắm đầu, làm một đứa trẻ cũng bị vứt bên đường khóc lóc.”",
倒海移山,dǎo hǎi yí shān,đảo hải di sơn,,Liên hợp,Tích cực,Thành ngữ về biển,"Làm vị ngữ, định ngữ; dùng để miêu tả khí thế hoặc sức mạnh","“Đảo” có nghĩa là lật ngược, xoay chuyển. Cụm “đảo hải di sơn” (倒海移山) nghĩa là lật biển, dời núi – ẩn dụ cho khí thế hừng hực, sức mạnh to lớn, kinh thiên động địa.",清·无垢道人《八仙全传》第八回：“只消把法身一动便能倒海移山，连阴阳两界不得安全。”,"(Thanh – Vô Cấu Đạo Nhân, Bát Tiên Toàn Truyện, hồi 8): “Chỉ cần pháp thân vừa động là có thể lật biển dời núi, đến cả hai cõi âm dương cũng không yên ổn.”

",排山倒海,,"Minh · Hứa Trọng Lâm · 《Phong Thần Diễn Nghĩa》 – Hồi 82:
“Bay thẳng lên phía Bắc... toàn là những vị anh hùng dũng mãnh có thể dời non lấp bể.”",
倒海翻江,dǎo hǎi fān jiāng,đảo hải phiên giang,,Liên hợp,Tích cực,"Thành ngữ về sông lớn (Giang)
Thành ngữ về biển","Làm vị ngữ, định ngữ; dùng để miêu tả tâm trạng vô cùng xúc động","Cũng dùng để mô tả sức mạnh hoặc thanh thế vô cùng to lớn, cuồn cuộn, không thể ngăn cản.",风仗雨势，雨借风威，那雨像倒海翻江似地下了起来。,"Gió nhờ mưa mà thêm thế, mưa mượn gió mà thêm uy — cơn mưa ấy trút xuống như thể lật biển cuộn sông vậy.",排山倒海、翻江倒海,,"Tống · Lục Du · 《Ngủ đêm ở Dương Sơn Kê》:
“Canh năm gió lốc thổi mưa ào ạt, như biển đổ sông dâng cuốn trôi cái oi nắng còn sót lại.”",
倒箧倾囊,dǎo qiè qīng náng,đảo khiếp khuynh nang,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ, định ngữ; dùng trong câu ẩn dụ","""Khuynh nang đảo thiếp"" (倾囊倒箧): đổ hết túi, trút hết hòm – ẩn dụ cho việc dốc hết tất cả những gì mình có, không giữ lại gì, thể hiện sự hào phóng, tận tâm, hoặc cạn kiệt.",,,倒箧倾筐,,"Thanh · Doanh Tông Kỷ Nữ · 《Lục Nguyệt Sương · Điển Sai》:
“Lục tung rương đổ cả túi, mang đi cầm cố đổi lấy ít tiền.”",
倒箧倾筐,dǎo qiè qīng kuāng, đảo khiếp khuynh khuông,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ, định ngữ; dùng trong câu ẩn dụ"," Dùng để miêu tả việc dốc hết tất cả những gì mình có.
→ Ẩn dụ cho sự hào phóng tuyệt đối, tận tâm hết mình, hoặc trút hết tài sản, sức lực, tri thức, tình cảm... mà không giữ lại gì.",,,倒廪倾囷、倒箧倾囊,,"Thanh · Lưu Đại Khuy · 《Bia mộ tặng Tư Chính Đại Phu Ngô Phủ Quân》:
“Còn những việc như tu sửa miếu thờ, san lấp đường sá, đốt bỏ khế ước, hễ việc gì có lợi cho dân thì ông đều dốc sạch rương, đổ sạch giỏ, sợ chậm trễ mà không kịp làm.”",
倒绷孩儿,dào bēng hái ér,đảo băng hài nhi,,Động tân,Tích cực,,Làm vị ngữ; dùng để ẩn dụ một sai sót không nên mắc phải," “Băng” nghĩa là băng bó, quấn vải. Việc bà đỡ quấn nhầm tã cho em bé sơ sinh là một lỗi rất hiếm thấy. Thành ngữ này dùng để ẩn dụ cho một lỗi sai do bất cẩn trong việc vốn quen thuộc, đáng lẽ không nên mắc phải.",作老娘三十年，今日倒绷孩儿，亦复何说！（清 蒲松龄《聊斋志异 念秧》）,"作老娘三十年:
→ Làm mẹ đã ba mươi năm rồi (ý nói là có kinh nghiệm nuôi con lâu năm).

倒绷孩儿（倒绷孩子）:
→ “Bó nhầm tã cho con” – xuất phát từ hình ảnh bà đỡ quấn sai khăn tã cho trẻ sơ sinh, ẩn dụ một người giàu kinh nghiệm mà lại mắc sai lầm cơ bản, đáng lẽ không nên xảy ra.

亦复何说:
→ Còn biết nói gì nữa đây! (ý thể hiện sự bất lực, ngậm ngùi)",,,"《Sự Văn Loại Tụy Tiền Tập》 – Quyển 27:
“Há lại có chuyện làm mẹ già ba mươi năm rồi mà lại phải bế ngược con trẻ hay sao?”",
倒置干戈,dào zhì gān gē,đảo trí can qua,,Động tân,Tích cực,,Làm vị ngữ; biểu thị việc không còn chiến tranh nữa,"Đem vũ khí cất đi, không dùng đến nữa — ẩn dụ cho việc chấm dứt chiến tranh, lập lại hòa bình.",老百姓都希望统治者倒置干戈,"Nhân dân đều mong những người cầm quyền cất vũ khí, chấm dứt chiến tranh.",倒载干戈,,"《Sử Ký · Lưu Hầu Thế Gia》:
“Cắm ngược binh khí xuống đất, phủ da hổ lên trên, để tỏ rõ với thiên hạ rằng sẽ không dùng binh đao nữa.”",
倒背如流,dào bèi rú liú,đảo bội như lưu,,Chính phụ,Tích cực,, Làm vị ngữ; thường dùng để chỉ việc học thuộc lòng,“Bối” nghĩa là học thuộc. Cụm “đảo bối như lưu” (倒背如流) nghĩa đen là học thuộc đến mức có thể đọc ngược mà vẫn trôi chảy như nước chảy ,她把说明小册子的英文部分似乎已经读得倒背如流了。（郭沫若《苏联纪行 六月二十七日》,Cô ấy dường như đã học thuộc phần tiếng Anh trong cuốn sổ tay hướng dẫn đến mức có thể đọc ngược vanh vách.,滚瓜烂熟,,"Quách Mạt Nhược · 《Du ký Liên Xô · Ngày 27 tháng Sáu》:
“Cô ấy dường như đã đọc phần tiếng Anh của cuốn sách hướng dẫn nhỏ đến mức thuộc làu làu.”",
倒行逆施,dào xíng nì shī,đảo hành nghịch thi,,Liên hợp,Tiêu cực,Thành ngữ về sự kiêu căng ngạo mạn,"Làm chủ ngữ, vị ngữ, định ngữ; mang ý nghĩa chê bai, tiêu cực"," Nguyên nghĩa: chỉ hành vi làm việc trái với lẽ thường, bất chấp thủ đoạn.
→ Hiện nay: thường dùng để chỉ những việc làm đi ngược lại xu thế thời đại hoặc trái với ý chí, nguyện vọng của nhân dân.",在压迫得透不过气来的时候，疏解和抗议都无用，压迫者是可以任所欲为，倒行逆施的。（邹韬奋《患难余生记 离渝前的政治形势》）,"Trong lúc bị áp bức đến mức không thở nổi, thì việc xoa dịu hay phản kháng đều vô ích — kẻ áp bức có thể muốn làm gì thì làm, ngang nhiên hành động ngược ngạo, phản lại lẽ phải.
",胡作非为、为非作歹、横行霸道,,"《Sử Ký · Ngũ Tử Tư Liệt Truyện》:
“Ta đã đến lúc chiều tà mà đường còn xa, nên ta phải đi ngược dòng và làm trái lẽ thường vậy.”",
倒街卧巷,dǎo jiē wò xiàng, đảo nhai ngọa hạng,,Liên hợp,Tiêu cực,,"Làm vị ngữ, định ngữ; dùng trong ngữ cảnh đời sống thường ngày","Chỉ việc ngủ ngoài đường, không có nơi trú ngụ – tức “lang thang, màn trời chiếu đất”.",,,,,"《Thủy Hử Truyện》 – Hồi 21:
Bô Tử... nhìn Tống Giang nói: “Áp ti có việc gì mà để ý đến tên ăn mày ấy làm gì? Hắn chỉ lang thang khắp nơi để xin rượu uống, chuyên đi gây chuyện thị phi. Loại chết bờ chết bụi, nằm đường ngủ chợ như hắn mà cũng dám đến từng nhà gây sự với người ta sao!”",
倒裳索领,dào cháng suǒ lǐng,đảo thường sách lĩnh,,Liên hợp,Tích cực,,"Làm vị ngữ, định ngữ; chỉ người làm việc.",Lộn áo tìm cổ áo. Ẩn dụ làm việc không nắm được trọng điểm.,你不要干倒裳索领一样的蠢事,Đừng làm mấy chuyện ngu ngốc như lộn áo tìm cổ áo.,缘木求鱼,,"《Đặng Tích Tử · Vô Hậu thiên》:
“Đuổi người chạy nhanh trong sân, tìm khỉ nhanh nhẹn trong chuồng — ấy là trái với lẽ thường mà đi tìm, giống như mặc áo ngược rồi đi tìm cổ áo vậy.”",
倒载干戈,dào zài gān gē,đảo tải can qua,,Động tân,Tích cực,,Làm vị ngữ; chỉ hành động ngừng chiến tranh.,"Đảo: cắm ngược mũi nhọn vào trong; tải: bày biện, đặt để; can qua: hai loại binh khí thời xưa, dùng để chỉ chung vũ khí. Cắm ngược vũ khí và đặt sang một bên, ẩn dụ không còn chiến tranh, thiên hạ thái bình.",宋·王禹偁《单州成武县行宫上梁文》：“一戎而倒载干戈，万国而混同文轨。”,"Tống · Vương Dũ Xưng 《Văn dựng xà hành cung huyện Thành Vũ, châu Đan》:
“Một trận mà cất vũ khí lên xe, vạn nước cùng chung lễ nhạc văn hóa.”",倒置干戈,,"《Lễ Ký · Nhạc Ký》:
“Đặt ngược vũ khí, bọc lại bằng da hổ… từ đó thiên hạ mới biết rằng Vũ Vương không còn phải dùng đến binh đao nữa.”",
刀下留人,dāo xià liú rén,đao hạ lưu nhân,,Chính phụ,Tích cực,"Thành ngữ về đao 
Thành ngữ về phía dưới
Thành ngữ về con người","Làm vị ngữ, tân ngữ, định ngữ; mang ý nghĩa khen ngợi","Lời khẩn cầu cứu mạng, nhằm xin tha cho người sắp bị chém, gửi đến người chủ trì hoặc thi hành việc chém đầu.",一进栊门，就高声喊道：“刀下留人！”但是迟了，陈锦江的脑壳被劈成两片，横倒在院坝里。,"Vừa bước qua cổng nhà lao, liền lớn tiếng hô: “Đao hạ lưu nhân!” Nhưng đã muộn, đầu của Trần Cẩm Giang đã bị chém làm đôi, nằm lăn lóc giữa sân.",刀下留情、刀上超生,,"Nguyên · Lý Văn Úy · 《Yến Thanh Bắt Cá》:
“Xin tha mạng dưới đao! Đại ca hãy nguôi giận.”
",
刀俎余生,dāo zǔ yú shēng,đao trở dư sinh,,Chính phụ,Tích cực,Thành ngữ về đao ,"Làm định ngữ, tân ngữ; ẩn dụ cho việc thoát khỏi hoàn cảnh nguy hiểm.",Cũng như sống sót trong miệng hổ.,,,虎口余生,,"Thanh · Chiêu Liêm · 《Tiếu Đình Tạp Ký · Ghi chuyện binh bại năm Tân Hợi》:
“Ta là kẻ còn sống sót dưới đao kiếm, nhờ ơn vua mà không chết, nay được lấy da ngựa bọc xác mà chết trận, ấy cũng là điều may mắn vậy!”",
刀光剑影,dāo guāng jiàn yǐng,đao quang kiếm ảnh,,Liên hợp,Tích cực,"Thành ngữ về chiến tranh
Thành ngữ về đao 
Thành ngữ về kiếm","Làm chủ ngữ, tân ngữ, định ngữ; mang ý nghĩa chê bai.",Lờ mờ hiện ra ánh sáng và bóng dáng của đao kiếm. Miêu tả bầu không khí đầy rẫy sự nguy hiểm.,香港功夫片中刀光剑影、激烈厮杀的场面扣人心弦。,"Những cảnh đao quang kiếm ảnh, giao đấu kịch liệt trong phim võ thuật Hồng Kông khiến người xem thót tim.",剑拔弩张、杀气腾腾、磨刀霍霍,,"Nam Triều · Lương · Ngô Quân · 《Chiến Thành Nam Tứ Thủ》:
“Ánh kiếm loé như sét đêm, mồ hôi ngựa hoà trong bùn đất suốt ngày đêm.”",
刀光血影,dāo guāng xuè yǐng,đao quang huyết ảnh,,Liên hợp,Tích cực,"Thành ngữ về máu
Thành ngữ về đao ","Làm chủ ngữ, tân ngữ, định ngữ; chỉ những cuộc xung đột đẫm máu.",Miêu tả sự tàn sát đẫm máu.,在刀光血影面前，他昂然直视。★胡旷《短促而光辉的生命》,"Trước ánh đao bóng kiếm, anh hiên ngang nhìn thẳng.
★ Hồ Khoáng – Cuộc đời ngắn ngủi mà rực rỡ",刀光剑影,,"Quách Mạt Nhược · 《Hồng Ba Khúc》 – Chương 5, phần 1:
“Ba trấn Vũ Hán, kể từ cuộc Bắc phạt đến nay, đã bị bóp nghẹt dưới ánh đao bóng máu suốt tròn mười năm.”",
刀刀见血,dāo dāo jiàn xuè,đao đao kiến huyết,AABC,Chủ vị,Tích cực,"Thành ngữ về máu
Thành ngữ về đao ","Làm tân ngữ, định ngữ; ẩn dụ lời nói sắc bén, đanh thép.","Ẩn dụ lời nói sắc bén, đanh thép.",这样做真是刀刀见血，直指要害,"Làm như vậy quả thật là đâm đâu trúng đó, đánh trúng chỗ hiểm.",切中要害、针针见血,,"Cổ Lập Cao · 《Giữa Đông》:
“Miệng lưỡi sắc bén, lời nào cũng như dao đâm chảy máu, khiến mọi người đều nổi giận bừng bừng.”",
刀头剑首,dāo tóu jiàn shǒu,đao đầu kiếm thủ,,Liên hợp,Tiêu cực,"Thành ngữ về đầu
Thành ngữ về đao 
Thành ngữ về kiếm","Làm tân ngữ, định ngữ; dùng để chỉ hoàn cảnh, tình thế.",Ẩn dụ cực độ cho hoàn cảnh nguy hiểm.,,,刀山剑林,,"Thanh · Tiền Khiêm Ích · 《Thiều Thượng – Ngô Tử Đức Dư làm “Kỷ Văn Thi Đinh Sửu” sáu bài – Bài số 5》:
“Lưỡi dao mũi kiếm trải qua đông xuân, muốn giết thì cũng đâu thể có trăm thân mà chết cho đủ.”",
刀头燕尾,dāo tóu yàn wěi,đao đầu yến vĩ ,,Liên hợp,Tích cực,Thành ngữ về đao ,"Làm tân ngữ, định ngữ; dùng trong thư pháp v.v. Ẩn dụ ngòi bút sắc sảo, mạnh mẽ.","Ẩn dụ cho ngòi bút mạnh mẽ, sắc bén.",,,,,"Tống · Quách Nhược Hư · 《Đồ Họa Kiến Văn Chí》:
“Ông giỏi vẽ Phật và Đạo, lại tinh thông vẽ ngựa Tây Vực, nét bút sắc sảo mạnh mẽ, nổi danh với phong cách ‘đầu dao đuôi én’.”",
刀头舔蜜,dāo tóu tiǎn mì,đao đầu thiểm mật,,Chính phụ,Tích cực,,"Làm tân ngữ, định ngữ; chỉ mức độ nguy hiểm cao.","Liếm: dùng lưỡi chạm vào hoặc lấy vật gì đó. Ẩn dụ cho việc lợi ít hại nhiều, cũng chỉ sự tham tiền háo sắc, không màng tính mạng.",刀头舔蜜的危险可想而知,Sự nguy hiểm của việc liếm mật trên đầu dao có thể tưởng tượng được.,虎口拔牙,,"《Phật Thuyết Tứ Thập Nhị Chương Kinh》:
Phật dạy: “Tài sắc đối với con người ví như đứa trẻ ham liếm mật trên lưỡi dao – vị ngọt chẳng đủ một bữa ngon, nhưng lại có tai họa đứt lưỡi.”",
刀子嘴豆腐心,dāo zǐ zuǐ dòu fǔ xīn,đao tử chuỷ đậu hủ tâm,,Liên hợp,Tích cực,Thành ngữ về cách giao tiếp,"Làm tân ngữ, định ngữ; dùng trong cách đối nhân xử thế.",Miêu tả người nói năng cay nghiệt nhưng thực ra rất mềm lòng.,刘白羽《第二个太阳》第九章：“‘嗐！刀子嘴豆腐心。’她自己噗哧先笑了。”,"Lưu Bạch Vũ – Mặt trời thứ hai, chương 9:
“Ha! Miệng dao lòng đậu phụ.” Chính cô ấy cũng phì cười trước.",,,"Hạo Nhiên · 《Nắng Tươi》 – Chương 39:
“Tiêu Nhị Cúc là người miệng lưỡi sắc như dao, nhưng lòng dạ mềm như đậu phụ, cứng rắn thì không sợ, nhưng dịu dàng thì lại không chịu nổi.”",
刀山剑林,dāo shān jiàn lín,đao sơn kiếm lâm,,Liên hợp,Tích cực,"Thành ngữ về đao 
Thành ngữ về kiếm",Làm tân ngữ; ẩn dụ cho tình cảnh nguy hiểm và ác liệt.,"Ẩn dụ cho hoàn cảnh hiểm ác, nguy hiểm.",为了得到她的爱，就是刀山剑林，他也敢去,"Vì để có được tình yêu của cô ấy, dù là núi dao rừng kiếm, anh cũng dám bước vào.",刀山火海,,"Thanh · Thạch Ngọc Khôn · 《Tam Hiệp Ngũ Nghĩa》 – Hồi 57:
“Đừng nói là phủ Khai Phong, dù có là núi đao rừng kiếm thì cũng phải xông pha một phen.”",
刀山剑树,dāo shān jiàn shù,đao sơn kiếm thụ,,Liên hợp,Tích cực,"Thành ngữ về đao 
Thành ngữ về kiếm
Thành ngữ có nguồn gốc tôn giáo","Làm chủ ngữ, tân ngữ; ẩn dụ cho nơi cực kỳ nguy hiểm.",Hình phạt trong địa ngục theo quan niệm Phật giáo. Ẩn dụ cho hình phạt cực kỳ tàn khốc.,我本来不大喜欢下地狱，因为不但是满眼只有刀山剑树，看得太单调，痛苦也怕很难当。（鲁迅《华盖集续编 厦门通信（二）》）,"Vốn dĩ tôi không mấy thích xuống địa ngục, vì ở đó chẳng có gì ngoài núi dao rừng kiếm, nhìn thì đơn điệu, mà nỗi đau e rằng cũng khó mà chịu nổi.
(Lỗ Tấn – Tập tiếp theo của Hoa Cái Tập: Thư từ Hạ Môn (2))",刀山火海、龙潭虎穴,,"《Thái Bình Quảng Ký》 – Quyển 382, truyện “Phan Tắc Tử”, dẫn từ 《Minh Báo Thập Di》:
“Đến tầng cửa thứ ba, vào trong thấy vạc dầu sôi cùng núi đao, cây kiếm.”",
刀山火海,dāo shān huǒ hǎi,đao sơn hoả hải ,,Liên hợp,Tích cực,"Thành ngữ về biển
Thành ngữ về họa
Thành ngữ về đao ","Làm chủ ngữ, tân ngữ; mang ý nghĩa khen ngợi, biểu thị tinh thần không sợ hãi.",Ẩn dụ cho nơi cực kỳ nguy hiểm và gian nan.,此刻，面前即使横着刀山火海，我们也必须打过去。（刘伯承《千里跃进大别山》）,"Lúc này, dù trước mặt là núi dao biển lửa, chúng ta cũng nhất định phải xông lên.
(Lưu Bá Thừa – Vượt đại tiến nghìn dặm tới Đại Biệt Sơn)





",龙潭虎穴、刀山剑树,,"Lưu Bá Thành · 《Ngàn Dặm Tiến Vào Đại Biệt Sơn》:
“Lúc này, cho dù trước mặt là núi đao biển lửa, chúng ta cũng nhất định phải xông lên.”",
刀山血海,dāo shān xuè hǎi, đao sơn huyết hải,,Liên hợp,Tích cực,"Thành ngữ về máu
Thành ngữ về biển
Thành ngữ về đao ","Làm chủ ngữ, tân ngữ; biểu thị tinh thần không sợ hãi.",Ẩn dụ cho nơi cực kỳ nguy hiểm và gian nan.,,,刀山火海,,"Minh · Phùng Mộng Long · 《Dụ Thế Minh Ngôn》 – Quyển 37:
“Có những kẻ ác phải chịu hình phạt như núi đao biển máu, nhổ lưỡi, chảo dầu... đủ loại tội nghiệp.”",
刀枪不入,dāo qiāng bù rù,đao thương bất nhập,,Chủ vị,Tích cực,,"Làm tân ngữ, định ngữ; chỉ tư tưởng của con người.","Đao chém không vào, súng đâm không chết — ẩn dụ chỉ tư tưởng bảo thủ, cứng nhắc, không bị ảnh hưởng bởi phê bình hay khích lệ.",王朔《一半是火焰，一半是海水》：“你也没戏，她现在正是刀枪不入的时候。”,"Vương Sác – Một nửa là lửa, một nửa là biển nước:
“Cậu cũng hết cơ hội rồi, bây giờ cô ấy đang ở thời kỳ đao thương bất nhập.”",,,"Lý Anh Như · 《Lửa Dại Gió Xuân Chiến Cổ Thành》 – Chương 3:
“Tôi cũng giống như Tôn Ngộ Không, đã luyện đến mức đao thương bất nhập rồi!”
",
刀枪入库,dāo qiāng rù kù,đao thương nhập khố,,Chủ vị,Tích cực,"Thành ngữ về súng ống
Thành ngữ về đao ","Làm vị ngữ, tân ngữ, định ngữ; thường dùng cùng với “马放南山” (ngựa thả về núi Nam).","Không có chiến tranh, không cần đến vũ khí; chỉ trạng thái bị tê liệt bởi hòa bình, giải giáp và mất cảnh giác.

",一年以前，当部队驻扎在这里的时候，他自己的一切精力都集中到生产方面去了，当时真有点，“刀枪入库，马放南山”的味道。,"Một năm trước, khi bộ đội đóng quân tại đây, toàn bộ tinh lực của anh ta đều dồn vào sản xuất, lúc đó thật sự có phần mang dáng dấp của câu “đao thương vào kho, ngựa thả về núi Nam”.",天下太平、国泰民安、安家立业、河清海晏,,"Thanh · Tiền Thải · 《Thuyết Nhạc Toàn Truyện》:
“Lúc bấy giờ thiên hạ đã thái bình lâu dài, quả thật là: ngựa thả về Nam Sơn, đao thương cất vào kho, ngũ cốc đầy đồng, vạn dân an vui làm ăn.”",
